,addresses,build_status,category,flat_type,importance,latitude,lease_type,longitude,prices,sale_dates,subcategory
1268,"Raised Ground Floor Flat 744 Fulham Road, London, SW6 5SF",Non-Newbuild,,Flat,,,Leasehold,,530000.0,2018-08-31,
1269,"Flat 4 45 Grange Park, London, W5 3PR",Non-Newbuild,,Flat,,,Leasehold,,485000.0,2018-08-31,
1270,"Flat 28 Woodcroft Apartments Silverworks Close, London, NW9 0DW",Newbuild,,Flat,,,Leasehold,,465000.0,2018-08-31,
1271,"52 Havilland Mews, London, W12 8BG",Non-Newbuild,,Flat,,,Leasehold,,560000.0,2018-08-31,
1272,"40 Gladesmore Road, London, N15 6TB",Non-Newbuild,highway,Semi Detached,0.51,51.5785492,Freehold,-0.0698244,620000.0,2018-08-31,residential
1273,"Flat 20 Capri House, 1 Beaufort Square, London, NW9 4BN",Newbuild,,Flat,,,Leasehold,,529950.0,2018-08-31,
1274,"First Floor Flat 72 Chamberlayne Road, London, NW10 3JJ",Non-Newbuild,,Flat,,,Leasehold,,405500.0,2018-08-31,
1275,"Flat 51 Kingly Building, 18 Woodberry Down, London, N4 2GQ",Newbuild,,Flat,,,Leasehold,,978750.0,2018-08-31,
1276,"61 Cherry Blossom Close, London, N13 6BQ",Non-Newbuild,highway,Flat,0.61,51.6149747,Leasehold,-0.0962849,255000.0,2018-08-31,residential
1277,"Flat 69 Kingly Building, 18 Woodberry Down, London, N4 2GQ",Newbuild,,Flat,,,Leasehold,,975000.0,2018-08-31,
1278,"35 Chestnut Grove, London, W5 4JT",Non-Newbuild,highway,Flat,0.61,51.5020647,Leasehold,-0.3026126,485000.0,2018-08-31,residential
1279,"101a Ifield Road, London, SW10 9AS",Non-Newbuild,highway,Flat,0.51,51.4866732,Leasehold,-0.1903837,550000.0,2018-08-31,residential
1280,"Flat 1 5 Blackdown Close, London, N2 8JF",Non-Newbuild,highway,Flat,0.61,51.5964699,Leasehold,-0.1756535,325000.0,2018-08-31,residential
1281,"Flat 3 York Mansions, 44 - 46 Chichele Road, London, NW2 3DE",Non-Newbuild,,Flat,,,Leasehold,,685000.0,2018-08-31,
1282,"Second Floor Flat 44d Wray Crescent, London, N4 3LP",Non-Newbuild,,Flat,,,Leasehold,,643750.0,2018-08-31,
1283,"First Floor Flat 75 Kimberley Gardens, London, N4 1LD",Non-Newbuild,,Flat,,,Leasehold,,395000.0,2018-08-31,
1284,"42b Musard Road, London, W6 8NW",Non-Newbuild,highway,Flat,0.51,51.4847526,Leasehold,-0.2106251,645000.0,2018-08-31,residential
1285,"Flat 13 Clematis House, 21 Capworth Street, London, E10 5GY",Non-Newbuild,,Flat,,,Leasehold,,138250.0,2018-08-31,
1286,"118b Sunningfields Road, London, NW4 4RE",Non-Newbuild,highway,Flat,0.51,51.5932221,Leasehold,-0.2259219,338000.0,2018-08-31,residential
1287,"57 Bispham Road, London, NW10 7HB",Non-Newbuild,highway,Flat,0.51,51.5307469,Leasehold,-0.2891854,375000.0,2018-08-31,residential
1288,"105 Jeremys Green, London, N18 2ND",Non-Newbuild,highway,Flat,0.51,51.6188523,Leasehold,-0.0517922,205000.0,2018-08-31,residential
1289,"Flat 5 Old Town Hall, 16 The Ridgeway, London, E4 6BF",Non-Newbuild,,Flat,,,Leasehold,,400000.0,2018-08-31,
1290,"41 Fitzgeorge Avenue, London, W14 0SZ",Non-Newbuild,highway,Flat,0.41,51.4158568,Leasehold,-0.2629115,975000.0,2018-08-31,residential
1291,"Flat 2 24 Broughton Road, London, W13 8QW",Non-Newbuild,highway,Flat,0.52,51.5125604,Leasehold,-0.3170562,415000.0,2018-08-31,residential
1292,"47a Tetcott Road, London, SW10 0SB",Non-Newbuild,place,Flat,0.511,51.4789265857,Leasehold,-0.183573657143,457500.0,2018-08-31,house
1293,"Flat 33 Chiswick Green Studios, 1 Evershed Walk, London, W4 5BW",Non-Newbuild,,Flat,,,Leasehold,,1275000.0,2018-08-31,
1294,"Flat 703 Sculpture House, 4 Killick Way, London, E1 3FE",Non-Newbuild,,Flat,,,Leasehold,,365000.0,2018-08-31,
1295,"Flat 5 71 Longridge Road, London, SW5 9SG",Non-Newbuild,,Flat,,,Leasehold,,662500.0,2018-08-31,
1296,"Flat 11 Graciosa Court, 176 Harford Street, London, E1 4GF",Non-Newbuild,,Flat,,,Leasehold,,350000.0,2018-08-31,
1297,"32 Ovington Street, London, SW3 2JB",Non-Newbuild,highway,Terraced,0.52,51.4943156,Freehold,-0.1638658,3300000.0,2018-08-31,residential
1298,"8 Spring Place, London, N3 3QB",Non-Newbuild,highway,Semi Detached,0.41,51.5491008,Freehold,-0.146566,980000.0,2018-08-31,residential
1299,"Flat G Mulberry Court, 2 Highbury Hill, London, N5 1BA",Non-Newbuild,,Flat,,,Leasehold,,750000.0,2018-08-31,
1300,"45b Linden Gardens, London, W2 4HQ",Non-Newbuild,highway,Flat,0.51,51.5107097,Leasehold,-0.1946135,1175000.0,2018-08-31,residential
1301,"8 Darwin Road, London, N22 6NR",Non-Newbuild,building,Terraced,0.421,51.4945371,Freehold,-0.3061583,430000.0,2018-08-31,yes
1302,"23 Tredegar Road, London, E3 2EH",Non-Newbuild,place,Terraced,0.621,51.5297297368,Leasehold,-0.0312145105263,592500.0,2018-08-31,house
1303,"9 Holland Road, East Ham, London, E6 2EW",Non-Newbuild,highway,Terraced,0.61,51.536742,Freehold,0.0614623,392000.0,2018-08-31,residential
1304,"Flat 41 Arthaus Apartments, 205 Richmond Road, London, E8 3FF",Non-Newbuild,,Flat,,,Leasehold,,435000.0,2018-08-31,
1305,"Flat 11 Lime Kiln Wharf, 94 Three Colt Street, London, E14 8AP",Non-Newbuild,,Flat,,,Leasehold,,540000.0,2018-08-31,
1306,"13 Waterman Way, London, E1W 2QN",Non-Newbuild,place,Flat,0.521,51.5064746667,Leasehold,-0.0609373333333,314350.0,2018-08-31,house
1307,"Flat 2501 Ontario Tower, 4 Fairmont Avenue, London, E14 9JD",Non-Newbuild,,Flat,,,Leasehold,,530000.0,2018-08-31,
1308,"72 St Pauls Rise, London, N13 6LD",Non-Newbuild,highway,Flat,0.61,51.610667,Leasehold,-0.0998362,280000.0,2018-08-31,residential
1309,"1 Lloyd Villas, London, E6 3SW",Non-Newbuild,highway,Semi Detached,0.51,51.4685293,Freehold,-0.0267768,350000.0,2018-08-31,residential
1310,"Flat 803 Verdigris Apartments, 31 Old Bethnal Green Road, London, E2 6AA",Non-Newbuild,,Flat,,,Leasehold,,545000.0,2018-08-31,
1311,"32 Highgate Edge, London, N2 0NT",Non-Newbuild,,Flat,,,Leasehold,,395000.0,2018-08-31,
